Class,Image,Epsilon,Attack,Euclidean Distance,Cosine Similarity,Accuracy
9,4,0.1,PGD,3.2195355892181396,0.7083510756492615,0.0
9,0,0.3,PGD,2.224367618560791,0.6620225310325623,0.20000000298023224
9,1,0.3,PGD,3.0898377895355225,0.2787652611732483,0.20000000298023224
9,2,0.3,PGD,3.187073230743408,0.6758877635002136,0.20000000298023224
9,3,0.3,PGD,3.608032703399658,0.2602653503417969,0.20000000298023224
9,4,0.3,PGD,3.9293384552001953,0.3966957926750183,0.20000000298023224
9,0,0.5,PGD,2.7728829383850098,0.4950755834579468,0.0
9,1,0.5,PGD,3.2183828353881836,0.16853056848049164,0.0
9,2,0.5,PGD,2.681082010269165,0.49942031502723694,0.0
9,3,0.5,PGD,3.380481481552124,0.24727952480316162,0.0
9,4,0.5,PGD,3.245706796646118,0.18788652122020721,0.0
9,0,0.7,PGD,3.4129605293273926,0.10749219357967377,0.0
9,1,0.7,PGD,3.045518398284912,0.12737052142620087,0.0
9,2,0.7,PGD,2.9464662075042725,0.3508838415145874,0.0
9,3,0.7,PGD,2.963481903076172,0.2561843693256378,0.0
9,4,0.7,PGD,3.2532994747161865,0.14109639823436737,0.0
9,0,1.0,PGD,3.283618450164795,0.1109318733215332,0.0
9,1,1.0,PGD,3.2359256744384766,0.14007370173931122,0.0
9,2,1.0,PGD,2.977781295776367,0.24015109241008759,0.0
9,3,1.0,PGD,3.2397923469543457,0.16381466388702393,0.0
9,4,1.0,PGD,3.2880136966705322,0.2267160415649414,0.0
9,0,0.001,C&W,3.143913745880127,0.7345827221870422,0.0
9,1,0.001,C&W,1.90712571144104,0.7819564938545227,0.0
9,2,0.001,C&W,2.28548264503479,0.749840259552002,0.0
9,3,0.001,C&W,2.2294297218322754,0.7953141927719116,0.0
9,4,0.001,C&W,0.05390226095914841,0.9998177289962769,0.0
9,0,0.01,C&W,3.143913745880127,0.7345827221870422,0.0
9,1,0.01,C&W,1.9118183851242065,0.7822573184967041,0.0
9,2,0.01,C&W,2.28548264503479,0.749840259552002,0.0
9,3,0.01,C&W,2.233264684677124,0.7954062819480896,0.0
9,4,0.01,C&W,0.10137676447629929,0.9992655515670776,0.0
9,0,0.05,C&W,3.143913745880127,0.7345827221870422,0.0
9,1,0.05,C&W,1.9472618103027344,0.7782641649246216,0.0
9,2,0.05,C&W,2.28548264503479,0.749840259552002,0.0
9,3,0.05,C&W,2.2272298336029053,0.7965837717056274,0.0
9,4,0.05,C&W,0.1448323130607605,0.998688817024231,0.0
9,0,0.1,C&W,3.143913745880127,0.7345827221870422,0.0
9,1,0.1,C&W,1.955202579498291,0.7831013202667236,0.0
9,2,0.1,C&W,2.28548264503479,0.749840259552002,0.0
9,3,0.1,C&W,2.243389129638672,0.7948486804962158,0.0
9,4,0.1,C&W,0.15879784524440765,0.9983795881271362,0.0
9,0,0.3,C&W,3.143913745880127,0.7345827221870422,0.0
9,1,0.3,C&W,1.9700881242752075,0.7803744077682495,0.0
9,2,0.3,C&W,2.28548264503479,0.749840259552002,0.0
9,3,0.3,C&W,2.2532284259796143,0.7952137589454651,0.0
9,4,0.3,C&W,0.4830020070075989,0.9908448457717896,0.0
9,0,0.5,C&W,3.143913745880127,0.7345827221870422,0.0
9,1,0.5,C&W,1.9617573022842407,0.7822134494781494,0.0
9,2,0.5,C&W,2.28548264503479,0.749840259552002,0.0
9,3,0.5,C&W,2.2562248706817627,0.7946032285690308,0.0
9,4,0.5,C&W,0.7185959219932556,0.9779906868934631,0.0
9,0,0.7,C&W,3.143913745880127,0.7345827221870422,0.0
9,1,0.7,C&W,1.9701563119888306,0.7810300588607788,0.0
9,2,0.7,C&W,2.28548264503479,0.749840259552002,0.0
9,3,0.7,C&W,2.2718915939331055,0.7931969165802002,0.0
9,4,0.7,C&W,0.9762225151062012,0.9577757120132446,0.0
9,0,1.0,C&W,3.143913745880127,0.7345827221870422,0.0
9,1,1.0,C&W,1.9725205898284912,0.7783868312835693,0.0
9,2,1.0,C&W,2.28548264503479,0.749840259552002,0.0
9,3,1.0,C&W,2.2343320846557617,0.7966693639755249,0.0
9,4,1.0,C&W,0.9636589884757996,0.9592819809913635,0.0
9,0,0.001,DeepFool,3.1439082622528076,0.7345840930938721,0.0
9,1,0.001,DeepFool,1.9154831171035767,0.7799714207649231,0.0
9,2,0.001,DeepFool,2.285475969314575,0.749840497970581,0.0
9,3,0.001,DeepFool,2.2190663814544678,0.7976970672607422,0.0
9,4,0.001,DeepFool,0.06465566158294678,0.999704897403717,0.0
9,0,0.01,DeepFool,3.1439082622528076,0.7345840930938721,0.0
9,1,0.01,DeepFool,1.971083402633667,0.7834948897361755,0.0
9,2,0.01,DeepFool,2.285475969314575,0.749840497970581,0.0
9,3,0.01,DeepFool,2.2318477630615234,0.7959924936294556,0.0
9,4,0.01,DeepFool,1.0479586124420166,0.9646573662757874,0.0
9,0,0.05,DeepFool,3.1439082622528076,0.7345840930938721,0.0
9,1,0.05,DeepFool,1.971083402633667,0.7834948897361755,0.0
9,2,0.05,DeepFool,2.285475969314575,0.749840497970581,0.0
9,3,0.05,DeepFool,2.2318477630615234,0.7959924936294556,0.0
9,4,0.05,DeepFool,1.765189290046692,0.913655161857605,0.0
9,0,0.1,DeepFool,3.1439082622528076,0.7345840930938721,0.0
9,1,0.1,DeepFool,1.971083402633667,0.7834948897361755,0.0
